epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.3583259582519531,9.999999747378752e-05,1.741237759590149,0.3886111080646515,1.2171947956085205
1,0.38874152302742004,9.999999747378752e-05,1.4755544662475586,0.4302777647972107,1.0930461883544922
2,0.40719127655029297,9.999999747378752e-05,1.345136046409607,0.44611111283302307,1.073241114616394
3,0.42074859142303467,9.999999747378752e-05,1.2748703956604004,0.42027777433395386,1.1164379119873047
4,0.43100500106811523,9.999999747378752e-05,1.2127834558486938,0.43694445490837097,1.1129875183105469
5,0.4598880112171173,9.999999747378752e-05,1.164900302886963,0.4355555474758148,1.1334069967269897
6,0.46318891644477844,4.999999873689376e-05,1.1487535238265991,0.4716666638851166,1.038499116897583
7,0.472502201795578,4.999999873689376e-05,1.1189045906066895,0.4958333373069763,1.015797734260559
8,0.4920719265937805,4.999999873689376e-05,1.1029397249221802,0.5061110854148865,1.0208580493927002
9,0.4953138828277588,4.999999873689376e-05,1.0935778617858887,0.5163888931274414,1.0267144441604614
10,0.5075744390487671,4.999999873689376e-05,1.0762741565704346,0.5288888812065125,0.9756956696510315
11,0.5124078989028931,4.999999873689376e-05,1.0637456178665161,0.5402777791023254,0.9575777649879456
12,0.5237253308296204,4.999999873689376e-05,1.049401044845581,0.5380555391311646,0.9592719078063965
13,0.5334511995315552,4.999999873689376e-05,1.0315362215042114,0.5322222113609314,0.9523948431015015
14,0.5386973023414612,4.999999873689376e-05,1.02700936794281,0.5488888621330261,0.9454323053359985
15,0.5467138290405273,4.999999873689376e-05,1.0056397914886475,0.5550000071525574,0.9386698007583618
16,0.5464780330657959,4.999999873689376e-05,0.9935047626495361,0.5633333325386047,0.9283579587936401
17,0.5623342394828796,4.999999873689376e-05,0.986611545085907,0.5652777552604675,0.9217567443847656
18,0.5614500641822815,4.999999873689376e-05,0.9676832556724548,0.5763888955116272,0.9115709662437439
19,0.5715296268463135,4.999999873689376e-05,0.9561295509338379,0.5780555605888367,0.9058833122253418
20,0.5768346786499023,4.999999873689376e-05,0.9418959021568298,0.5861111283302307,0.8979741334915161
21,0.5820218324661255,4.999999873689376e-05,0.9385018944740295,0.5958333611488342,0.8866285085678101
22,0.5831417441368103,4.999999873689376e-05,0.9195929169654846,0.5924999713897705,0.8986086249351501
23,0.5876805186271667,4.999999873689376e-05,0.8995525240898132,0.5950000286102295,0.9066237211227417
24,0.5960506796836853,4.999999873689376e-05,0.8838657736778259,0.6027777791023254,0.8615889549255371
25,0.6022988557815552,4.999999873689376e-05,0.8716847896575928,0.6072221994400024,0.8737932443618774
26,0.6037135124206543,4.999999873689376e-05,0.8630704879760742,0.6144444346427917,0.8540935516357422
27,0.6063660383224487,4.999999873689376e-05,0.8598946332931519,0.6127777695655823,0.8739320039749146
28,0.6196286678314209,4.999999873689376e-05,0.8337742686271667,0.6100000143051147,0.8739373087882996
29,0.6245800256729126,4.999999873689376e-05,0.8308702111244202,0.597777783870697,0.8561002612113953
30,0.6254052519798279,2.499999936844688e-05,0.8229807019233704,0.60916668176651,0.8437229990959167
31,0.6350722312927246,2.499999936844688e-05,0.8231181502342224,0.620555579662323,0.8245829939842224
32,0.6309460401535034,2.499999936844688e-05,0.8208311796188354,0.6219444274902344,0.8227939605712891
33,0.6345416903495789,2.499999936844688e-05,0.8053330183029175,0.6308333277702332,0.8047899007797241
34,0.638785719871521,2.499999936844688e-05,0.7965372800827026,0.6288889050483704,0.7958946228027344
35,0.6410256624221802,2.499999936844688e-05,0.8020270466804504,0.6297222375869751,0.796375572681427
36,0.6415561437606812,2.499999936844688e-05,0.7946406602859497,0.6333333253860474,0.7882489562034607
37,0.6423813700675964,2.499999936844688e-05,0.7966114282608032,0.632777750492096,0.78729248046875
38,0.6529325246810913,2.499999936844688e-05,0.7791405320167542,0.6430555582046509,0.7816459536552429
39,0.6482169032096863,2.499999936844688e-05,0.7799005508422852,0.636388897895813,0.7842077612876892
